(True/False) Machine Learning is a subset of Artificial Intelligence,"['False', 'True']",['True']
(True/False) Deep Learning is a subset of Machine Learning,"['False', 'True']",['True']
(True/False) Machine Learning consists in programming computers to learn from real-time human interactions,"['False', 'True']",['False']
(True/False) AI Winters happened mostly due to the lack of understanding behind the theory of neural networks,"['True', 'False']",['True']
"Most modern applications that use computer vision, use models that were trained using this discipline:","['Machine Learning', 'Artificial Intelligence', 'Deep Learning']",['Deep Learning']
"In the Machine Learning Workflow, the main goal of the Data Exploration and Preprocessing step is to:","['Identify what data that is best suited to find a solution to your business problem', 'Determine how to clean your data such that you can use it to train a model']",['Determine how to clean your data such that you can use it to train a model']
What is the goal of supervised learning?,"['Find the target.', 'Find an underlying structure of the dataset without any labels.', 'Predict the labels.', 'Predict the features.']",['Predict the labels.']
What is deep learning?,"['Deep learning is machine learning that involves deep neural networks.', 'Deep learning is another name for artificial intelligence.', 'Deep learning includes artificial intelligence and machine learning.', 'None of the above are correct.']",['Deep learning is machine learning that involves deep neural networks.']
When is a standard machine learning algorithm usually a better choice than using deep learning to get the job done?,"['When working with small data sets.', 'When the data is steady over time.', 'When working with large data sets.', 'None of the above are correct.']",['When working with small data sets.']
What is a Turing test?,"['It tests images.', 'It tests and cleans the dataset.', ""It tests a machine's ability to exhibit intelligent behavior."", 'It tests the dataset.']","[""It tests a machine's ability to exhibit intelligent behavior.""]"
What are some of the different milestones in deep learning history?,"['Deep Blue defeats a world champion chess player, and AlexNet is created.', 'Deep Blue defeats a world champion chess player and TensorFlow is released', 'Geoffrey Hinton’s work, AlexNet, and TensorFlow', 'Deep Blue defeats a world champion chess player, and Keras is released.']","['Geoffrey Hinton’s work, AlexNet, and TensorFlow']"
What is artificial intelligence?,"['A subset of deep learning.', 'Any program that can sense, reason, act, and adapt.', 'A subset of machine learning', 'None of the above.']","['Any program that can sense, reason, act, and adapt.']"
What are two spaces within AI that are going through drastic growth and innovation?,"['Deep learning and machine learning.', 'Computer vision and deep learning.', 'Computer vision and natural language processing.', 'Language processing and deep learning.']",['Computer vision and natural language processing.']
Why did AI flourish so much in the last years?,"['Data storage in the cloud is much more expensive', 'Faster and inexpensive computers and data storage', 'Access to hardware for cleaning data', 'Stylish designed computers']",['Faster and inexpensive computers and data storage']
How does Alexa use artificial intelligence?,"['Recognizes faces and pictures.', 'Recognizes our voice and answers questions.', 'Suggests who a person on a photo is.', 'None of the above answers are correct.']",['Recognizes our voice and answers questions.']
What are the first two steps of a typical machine learning workflow?,"['Problem statement and data cleaning.', 'Problem statement and data collection.', 'Data collection and data transformation.', 'None of the above answers is correct.']",['Problem statement and data collection.']
Which statement about the Pandas read_csv function is TRUE?,"['It can only read comma-delimited data.', 'It reads data into a 2-dimensional NumPy array.', 'It allows only one argument: the name of the file.', 'It can read both tab-delimited and space-delimited data.']",['It can read both tab-delimited and space-delimited data.']
Which of the following is a reason to use JavaScript Object Notation (JSON) files for storing data?,"['Because the data is stored in a matrix format.', 'Because they can store NA values.', 'Because they can store NULL values.', 'Because they are cross-platform compatible.']",['Because they are cross-platform compatible.']
